TotalDisplacement 33417369
MaxDisplacement 7430
NumCells 44811
c14299 -58674 58240
c14444 -58674 37576
c37141 -58674 -47096
c33393 -58674 -39032
c14031 -58674 47152
c4137 -58674 -49616
c10002 -58674 -41048
c30834 -58674 -23408
c44316 -58674 -51632
c29230 -58674 46648
c23922 -58674 -49112
c14477 -58674 27496
c774 -58674 -39536
c1447 -58674 -51128
c21377 -58674 -58688
c4182 -58344 47656
c40842 -58674 -55160
c2783 -58674 -24920
c12861 -58674 7336
c44028 -58674 36568
c28999 -58674 -29456
c25976 -58674 39592
c17053 -58674 -54656
c25951 -58674 43120
c13300 -58674 51688
c3577 -58674 -25424
c30174 -58014 38080
c24184 -58674 -4760
c29224 -58674 36064
c6780 -58674 -22904
c17098 -58674 17920
c24271 -58674 45136
c14440 -58674 -14840
c35303 -58674 46144
c3000 -58674 40096
c40974 -58674 -45080
c11428 -58674 1288
c336 -58674 54712
c2223 -58674 40600
c41051 -58674 2800
c22192 -58674 57232
c6494 -58674 43624
c32941 -58674 -10304
c8471 -58674 -50624
c13593 -58674 57736
c32726 -58674 5824
c41088 -58674 -11312
c41101 -58674 -25928
c32679 -58674 -23912
c26892 -58674 -15344
c25798 -58674 -38528
c39788 -58674 -40544
c11316 -58674 55216
c38752 -58674 -33992
c23763 -58674 -50120
c326 -58080 -26432
c35124 -58674 -32480
c6614 -58674 -3248
c3507 -58674 -17864
c42908 -58674 1792
c12910 -58674 -53144
c35116 -58674 20440
c39827 -58674 44632
c33166 -58674 -47600
c19223 -58674 -2744
c26244 -58674 -48608
c34266 -58674 -46088
c44063 -58674 -28952
c34333 -58674 51184
c2897 -58674 -224
c24978 -58674 56728
c24985 -58674 784
c44061 -58674 56224
c7082 -58674 -52136
c38904 -58674 23464
c7112 -58674 45640
c44156 -58674 -55664
c8267 -58674 8344
c7302 -57222 -50624
c1656 -58674 -16352
c34171 -58674 -8792
c3859 -58674 -40040
c25130 -58674 -15848
c36899 -58674 -35000
c24407 -57222 -50120
c21795 -58674 -43568
c24892 -58674 -19376
c17821 -58674 -45584
c9696 -58674 54208
c3699 -58674 -44072
c17745 -58674 -3752
c24857 -58674 -14336
c34508 -58674 18424
c36816 -58146 -30464
c8220 -58674 -56168
c24737 -57354 -40040
c34467 -58674 -46592
c17774 -58674 17416
c17775 -58674 6328
c36977 -58674 -26936
c40571 -57222 58240
c9637 -58674 15400
c40510 -58674 -6272
c9901 -58146 37576
c44039 -58278 784
c25690 -58674 4312
c34824 -58674 48160
c33718 -58674 55720
c33742 -58674 -1232
c25626 -58674 -30968
c24373 -58674 -6776
c19132 -57486 38080
c38867 -58674 -10808
c22001 -58674 5320
c33843 -58674 53704
c41079 -58146 53704
c25507 -58674 -38024
c1580 -58674 -36512
c6925 -58674 9352
c36947 -58674 35560
c21965 -58674 -5768
c33972 -58674 -56672
c19101 -57222 -55664
c291 -58674 -29960
c14314 -58674 -35504
c36925 -58146 43120
